Head to head statistics:

 1) Goldfish v2.0.0-rc7 2050.6 :    650 (+322,=216,-112),  66.2 %
  9      17      3.517043672       3.89990
 10      45      0.183907213       0.25528
 11     139      0.000000098       0.00000
done

White Advantage = 15.5
Draw Rate (eq.) = 46.3 %

Post-Convergence rating estimation
done

   # PLAYER                 : RATING    POINTS  PLAYED    (%)
   1 Goldfish v2.0.0-rc7    : 2050.6     430.0     650   66.2%
   2 Goldfish v1.13.0       : 1983.0    1107.5    1942   57.0%
   3 Goldfish v1.12.1       : 1932.1     748.0    1613   46.4%
   4 Goldfish v1.12.0       : 1906.7     833.5    1528   54.5%
   5 Goldfish v1.11.1       : 1893.5    1095.0    2015   54.3%
   6 Goldfish v1.9.0        : 1878.8    1826.5    3538   51.6%
   7 Goldfish v1.11.0       : 1878.5     549.5    1100   50.0%
   8 Goldfish v2.0.0-rc6    : 1871.1     136.0     338   40.2%
   9 Goldfish v2.0.0-rc3    : 1862.1     177.5     417   42.6%
  10 Goldfish v2.0.0-rc5    : 1858.8     120.5     316   38.1%
  11 Goldfish v2.0.0-rc1    : 1837.3     217.5     436   49.9%
  12 Goldfish v2.0.0-rc2    : 1835.0     141.0     354   39.8%
  13 Goldfish v1.7.0        : 1814.3    1086.5    2053   52.9%
  14 Goldfish v1.8.2        : 1809.4     392.0     783   50.1%
  15 Goldfish v1.7.1        : 1807.2     244.0     477   51.2%
  16 Goldfish v2.0.0-rc4    : 1803.7      19.5      57   34.2%
  17 Goldfish v1.8.0        : 1799.8     324.0     650   49.8%
  18 Goldfish v1.8.1        : 1796.8     485.5    1000   48.5%
  19 Goldfish v1.6.0        : 1784.4     625.0    1151   54.3%
  20 Goldfish v1.7.2        : 1781.4      69.5     150   46.3%
  21 Goldfish v1.5.1        : 1726.7     645.5    1435   45.0%
  22 Goldfish v1.5          : 1724.4     554.5    1145   48.4%
  23 Goldfish v1.4          : 1721.5     646.5    1325   48.8%
  24 Goldfish v1.3          : 1706.8     314.0     680   46.2%
  25 Goldfish v1.2          : 1676.3     237.5     585   40.6%
  26 Goldfish v1.1          : 1635.1     210.0     597   35.2%
  27 Goldfish v1.0          : 1629.8     129.5     397   32.6%

White advantage = 15.47
Draw rate (equal opponents) = 46.33 %

